Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,50.880001,53.360001,50.720001,53.200001,53.030315,12895913
2020-10-09,56.560001,56.560001,53.599998,54.720001,54.545464,21438438
2020-10-12,55.360001,55.360001,53.919998,54.639999,54.465717,11129550
2020-10-13,54.320000,54.560001,53.279999,53.759998,53.588524,9410950
2020-10-14,53.759998,55.119999,53.759998,54.560001,54.385971,12243588
2020-10-15,53.599998,55.040001,52.880001,54.959999,54.784698,11156588
2020-10-16,55.680000,58.799999,55.520000,58.320000,58.133987,21143413
2020-10-19,59.119999,59.759998,57.840000,58.320000,58.133987,16354638
2020-10-20,58.799999,59.360001,58.160000,58.720001,58.532703,12302513
2020-10-21,58.240002,59.279999,58.160000,58.560001,58.373219,9226388
2020-10-22,58.639999,62.000000,58.560001,61.759998,61.563007,11970863
2020-10-23,63.439999,64.239998,60.480000,61.040001,60.845306,16570400
2020-10-26,59.680000,60.480000,58.240002,59.040001,58.851685,13031800
2020-10-27,59.200001,59.200001,56.720001,56.799999,56.618832,12271250
2020-10-28,60.080002,62.880001,59.279999,59.360001,59.170666,31686763
2020-10-29,61.279999,61.919998,58.480000,58.959999,58.771935,15412250
2020-10-30,58.720001,60.320000,58.320000,59.360001,59.170666,12796263
2020-11-02,60.000000,60.639999,58.639999,60.160000,59.968109,13609788
2020-11-03,61.200001,63.360001,60.320000,62.799999,62.599693,12234063
2020-11-04,61.520000,64.160004,60.240002,62.799999,62.599693,15865638
2020-11-05,63.599998,64.400002,63.279999,63.919998,63.716118,10725850
2020-11-06,64.160004,65.120003,63.680000,64.720001,64.513573,10515688
2020-11-09,74.800003,75.279999,68.879997,69.760002,69.537491,24160338
2020-11-10,70.559998,72.800003,70.000000,71.839996,71.610863,20591700
2020-11-11,72.879997,72.959999,70.639999,71.120003,70.893158,10930000
2020-11-12,70.080002,70.959999,69.360001,70.080002,69.856476,9939800
2020-11-13,70.879997,74.000000,70.800003,74.000000,73.763962,16247538
2020-11-16,76.879997,77.120003,75.360001,76.559998,76.315804,14846500
2020-11-17,75.599998,77.919998,74.639999,77.440002,77.192993,11293575
2020-11-18,79.760002,80.400002,77.839996,77.839996,77.591721,18608225
2020-11-19,76.959999,78.080002,76.080002,77.279999,77.033508,10897188
2020-11-20,77.120003,78.639999,76.720001,78.080002,77.830963,10016938
2020-11-23,78.879997,82.160004,78.879997,80.559998,80.303040,13524663
2020-11-24,85.680000,86.800003,83.199997,83.599998,83.333351,22036100
2020-11-25,84.239998,84.480003,82.720001,84.000000,83.732071,13734113
2020-11-27,84.400002,84.480003,82.480003,83.199997,82.934616,6769350
2020-11-30,83.120003,83.120003,79.680000,81.440002,81.180237,15638013
2020-12-01,82.639999,83.839996,80.879997,81.199997,80.940994,10845888
2020-12-02,80.639999,83.839996,80.080002,83.440002,83.173859,9654450
2020-12-03,83.199997,85.599998,83.120003,84.800003,84.529518,11431613
2020-12-04,85.360001,87.440002,84.080002,87.040001,86.762375,16877613
2020-12-07,87.120003,88.800003,86.080002,86.879997,86.602882,12175500
2020-12-08,86.559998,88.239998,86.320000,87.680000,87.400330,11672288
2020-12-09,88.000000,91.919998,88.000000,91.120003,90.829361,15766938
2020-12-10,88.639999,91.839996,88.480003,90.559998,90.271141,11958950
2020-12-11,90.239998,91.279999,88.160004,89.279999,88.995232,11123213
